entry,shape,clip,says,audio,dur,image,bytes,status,casefix
LTR-A-NAME,name,sound,A,LTR-A-NAME_sound.mp3,0.993,n/a,,no image needed,
LTR-B-NAME,name,sound,B,LTR-B-NAME_sound.mp3,0.888,n/a,,no image needed,
LTR-C-NAME,name,sound,C,LTR-C-NAME_sound.mp3,1.071,n/a,,no image needed,
LTR-D-NAME,name,sound,D,LTR-D-NAME_sound.mp3,0.940,n/a,,no image needed,
LTR-A-S2,sound,sound,ei,LTR-A-S2_sound.mp3,0.914,n/a,,no image needed,
LTR-A-S2,sound,word1,angel,LTR-A-S2_word1.mp3,1.045,a-e/angel.jpeg,24344,OK,
LTR-A-S2,sound,word2,ape,LTR-A-S2_word2.mp3,0.758,a-e/ape.jpg,60483,OK,
LTR-B-S1,sound,sound,b,LTR-B-S1_sound.mp3,0.810,n/a,,no image needed,
LTR-B-S1,sound,word1,banana,LTR-B-S1_word1.mp3,1.123,a-e/banana.jpeg,8531,OK,
LTR-B-S1,sound,word2,ball,LTR-B-S1_word2.mp3,0.940,a-e/ball.jpeg,81466,OK,
LTR-C-S1,sound,sound,k,LTR-C-S1_sound.mp3,0.601,n/a,,no image needed,
LTR-C-S1,sound,word1,color,LTR-C-S1_word1.mp3,1.097,a-e/color.png,36095,OK,
LTR-C-S1,sound,word2,cat,LTR-C-S1_word2.mp3,1.045,a-e/cat.jpeg,28312,OK,
LTR-C-S2,sound,sound,s,LTR-C-S2_sound.mp3,0.836,n/a,,no image needed,
LTR-C-S2,sound,word1,cell,LTR-C-S2_word1.mp3,1.071,a-e/cell.jpeg,22412,OK,
LTR-C-S2,sound,word2,city,LTR-C-S2_word2.mp3,1.071,a-e/city.jpg,1017956,OK,
LTR-D-S1,sound,sound,d,LTR-D-S1_sound.mp3,0.679,n/a,,no image needed,
LTR-D-S1,sound,word1,doctor,LTR-D-S1_word1.mp3,0.940,a-e/doctor.webp,37932,OK,
LTR-D-S1,sound,word2,dog,LTR-D-S1_word2.mp3,0.993,a-e/dog.webp,58650,OK,
U3-AT,word,sound,at,U3-AT_sound.mp3,1.045,n/a,,no image needed,
U3-AN,word,sound,an,U3-AN_sound.mp3,0.967,n/a,,no image needed,
U3-AM,word,sound,am,U3-AM_sound.mp3,0.940,n/a,,no image needed,
U2-BA,combination,sound,ba,U2-BA_sound.mp3,0.784,n/a,,no image needed,
U2-BA,combination,word1,bat,U2-BA_word1.mp3,0.967,a-e/bat.jpg,58203,OK,
U2-BA,combination,word2,bag,U2-BA_word2.mp3,1.384,a-e/bag.jpeg,16297,OK,
U2-BE,combination,sound,be,U2-BE_sound.mp3,1.019,n/a,,no image needed,
U2-BE,combination,word1,bed,U2-BE_word1.mp3,0.888,a-e/bed.jpeg,16900,OK,
U2-BE,combination,word2,bell,U2-BE_word2.mp3,1.176,a-e/bell.jpeg,8918,OK,
U2-BI,combination,sound,bi,U2-BI_sound.mp3,0.705,n/a,,no image needed,
U2-BI,combination,word1,big,U2-BI_word1.mp3,1.280,a-e/big.png,220164,OK,
U2-BI,combination,word2,bin,U2-BI_word2.mp3,0.940,a-e/bin.png,139907,OK,
U2-BO,combination,sound,bo,U2-BO_sound.mp3,1.280,n/a,,no image needed,
U2-BO,combination,word1,bot,U2-BO_word1.mp3,1.097,a-e/bot.png,1716975,OK,
U2-BO,combination,word2,bottle,U2-BO_word2.mp3,0.862,a-e/bottle.jpeg,30351,OK,
U2-BU,combination,sound,bu,U2-BU_sound.mp3,0.784,n/a,,no image needed,
U2-BU,combination,word1,bus,U2-BU_word1.mp3,0.914,a-e/bus.jpg,39756,OK,
U2-BU,combination,word2,bug,U2-BU_word2.mp3,0.758,a-e/bug.jpeg,20068,OK,
U2-CA,combination,sound,ca,U2-CA_sound.mp3,0.784,n/a,,no image needed,
U2-CA,combination,word1,cat,U2-CA_word1.mp3,0.731,a-e/cat.jpeg,28312,OK,
U2-CA,combination,word2,camera,U2-CA_word2.mp3,1.280,a-e/camera.webp,127130,OK,
U2-CI,combination,sound,ci,U2-CI_sound.mp3,0.836,n/a,,no image needed,
U2-CI,combination,word1,city,U2-CI_word1.mp3,1.097,a-e/city.jpg,1017956,OK,
U2-CI,combination,word2,circus,U2-CI_word2.mp3,1.202,a-e/circus.jpg,29763,OK,
U2-CE,combination,sound,ce,U2-CE_sound.mp3,0.888,n/a,,no image needed,
U2-CE,combination,word1,cell,U2-CE_word1.mp3,0.967,a-e/cell.jpeg,22412,OK,
U2-CE,combination,word2,center,U2-CE_word2.mp3,1.071,a-e/center.png,803190,OK,
U2-CO,combination,sound,co,U2-CO_sound.mp3,0.758,n/a,,no image needed,
U2-CO,combination,word1,comic,U2-CO_word1.mp3,0.967,a-e/comic.jpg,217787,OK,
U2-CO,combination,word2,color,U2-CO_word2.mp3,1.149,a-e/color.png,36095,OK,
U2-CU,combination,sound,cu,U2-CU_sound.mp3,1.045,n/a,,no image needed,
U2-CU,combination,word1,cup,U2-CU_word1.mp3,0.862,a-e/cup.jpeg,12441,OK,
U2-CU,combination,word2,cut,U2-CU_word2.mp3,0.914,a-e/cut.png,140855,OK,
U2-DA,combination,sound,da,U2-DA_sound.mp3,0.758,n/a,,no image needed,
U2-DA,combination,word1,dad,U2-DA_word1.mp3,0.888,a-e/dad.png,19034,OK,
U2-DA,combination,word2,dance,U2-DA_word2.mp3,0.888,a-e/Dance.png,215096,OK,Dance
U2-DE,combination,sound,de,U2-DE_sound.mp3,0.914,n/a,,no image needed,
U2-DE,combination,word1,desk,U2-DE_word1.mp3,0.888,a-e/desk.jpg,58086,OK,
U2-DE,combination,word2,dentist,U2-DE_word2.mp3,0.967,a-e/dentist.jpg,37360,OK,
U2-DI,combination,sound,di,U2-DI_sound.mp3,0.784,n/a,,no image needed,
U2-DI,combination,word1,dig,U2-DI_word1.mp3,1.332,a-e/Dig.png,111568,OK,Dig
U2-DI,combination,word2,dictionary,U2-DI_word2.mp3,1.176,a-e/dictionary.jpg,84489,OK,
U2-DO,combination,sound,do,U2-DO_sound.mp3,0.705,n/a,,no image needed,
U2-DO,combination,word1,dog,U2-DO_word1.mp3,0.914,a-e/dog.webp,58650,OK,
U2-DO,combination,word2,doctor,U2-DO_word2.mp3,0.888,a-e/doctor.webp,37932,OK,
U2-DU,combination,sound,du,U2-DU_sound.mp3,0.784,n/a,,no image needed,
U2-DU,combination,word1,duck,U2-DU_word1.mp3,0.810,a-e/duck.webp,48632,OK,
U2-DU,combination,word2,dust,U2-DU_word2.mp3,0.888,a-e/dust.jpeg,52266,OK,
LTR-A-S1,sound,sound,a,LTR-A-S1_sound.mp3,0.862,n/a,,no image needed,
LTR-A-S1,sound,word1,apple,LTR-A-S1_word1.mp3,0.862,a-e/apple.jpeg,26260,OK,
LTR-A-S1,sound,word2,ant,LTR-A-S1_word2.mp3,0.940,a-e/ant.jpeg,29250,OK,
